trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
404,False,"{'a': 0.7, 'e': 0.08856664141493896}",20,9,20.225650631417356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.7, 'e': 0.088036832582372548}",20,8,-20.468319237802536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
406,False,"{'a': 0.7, 'e': 0.087510193085287125}",20,13,15.131247562928975,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.7, 'e': 0.086986703964603854}",25,13,22.05466285240455,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.7, 'e': 0.086466346374657915}",30,19,-23.983620364808,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
409,False,"{'a': 0.7, 'e': 0.08594910158251981}",30,16,29.253441163134465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.7, 'e': 0.085434950967321233}",25,8,16.65827429502745,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
411,False,"{'a': 0.7, 'e': 0.084923876019584413}",25,13,-19.094247653158902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
412,False,"{'a': 0.7, 'e': 0.084415858340556135}",20,8,21.35061444640162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.7, 'e': 0.083910879641545005}",25,9,28.257890043494406,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.7, 'e': 0.083408921743263392}",25,11,28.03679584816859,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.7, 'e': 0.082909966575172661}",25,16,18.48967990673203,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.7, 'e': 0.082413996174832971}",20,4,20.562144851202383,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.7, 'e': 0.081920992687256264}",20,6,27.671444528393423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.7, 'e': 0.081430938364263808}",25,18,13.935318289220572,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.7, 'e': 0.080943815563846985}",20,10,16.23622206389267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.7, 'e': 0.080459606749532439}",25,11,23.617442024502864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.7, 'e': 0.079978294489750482}",20,13,12.824874257250778,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.7, 'e': 0.07949986145720786}",25,7,17.578481330787167,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
423,False,"{'a': 0.7, 'e': 0.079024290428263658}",20,12,15.30429551908161,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.7, 'e': 0.078551564282309541}",20,15,9.715224157930098,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.7, 'e': 0.078081666001153127}",25,18,-7.492416488441194,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
426,False,"{'a': 0.7, 'e': 0.077614578668405626}",30,0,41.887629161915974,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.7, 'e': 0.077150285468872579}",25,14,18.902173934348173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.7, 'e': 0.076688769687948605}",20,11,14.400993965826684,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.7, 'e': 0.076230014711015828}",25,18,11.9104847251087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.7, 'e': 0.075774004022845481}",20,11,17.965376476595537,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.7, 'e': 0.075320721207003574}",25,12,12.499128325079582,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
432,False,"{'a': 0.7, 'e': 0.074870149945259742}",20,12,14.580852731545699,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.7, 'e': 0.074422274016999954}",20,3,22.07873258197008,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.7, 'e': 0.073977077298642363}",25,13,25.370027580738885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.7, 'e': 0.073534543763057097}",25,12,25.470426479393737,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.7, 'e': 0.073094657478989009}",30,13,19.141184784247436,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
437,False,"{'a': 0.7, 'e': 0.072657402610484423}",25,16,-4.420625904302608,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
438,False,"{'a': 0.7, 'e': 0.072222763416320779}",20,14,12.115378918369965,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.7, 'e': 0.071790724249440246}",20,10,18.356716197748106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.7, 'e': 0.071361269556386053}",30,23,13.473241420250723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.7, 'e': 0.070934383876742946}",25,10,23.314128870599458,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.7, 'e': 0.070510051842580301}",20,10,10.902499660779135,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.7, 'e': 0.070088258177899113}",25,16,16.073145372167794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.7, 'e': 0.069668987698081844}",20,7,23.049756625526552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.7, 'e': 0.069252225309345994}",20,13,12.876792590934159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.7, 'e': 0.068837956008200488}",20,4,25.25621471142263,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.7, 'e': 0.068426164880905832}",25,13,22.099044532043038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.7, 'e': 0.068016837102936878}",25,0,37.12090422029736,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
449,False,"{'a': 0.7, 'e': 0.067609957938449497}",20,12,14.973995373515166,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.7, 'e': 0.067205512739749756}",20,12,10.793447364501036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.7, 'e': 0.066803486946766868}",20,11,18.108242756386492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.7, 'e': 0.066403866086528832}",20,6,3.9930226825267745,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
453,False,"{'a': 0.7, 'e': 0.066006635772641556}",25,17,15.470517230063006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.7, 'e': 0.065611781704770805}",20,14,11.34853714032461,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.7, 'e': 0.065219289668127525}",20,10,5.7090373712015205,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
456,False,"{'a': 0.7, 'e': 0.064829145532955962}",30,12,22.608067556722858,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.7, 'e': 0.064441335254025178}",20,12,13.336402816327128,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.7, 'e': 0.064055844870123169}",25,15,21.111330985772824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.7, 'e': 0.063672660503554565}",20,8,21.36944099816981,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.7, 'e': 0.063291768359640704}",20,6,24.324388331573324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.7, 'e': 0.062913154726223344}",20,0,28.233905584988374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
462,False,"{'a': 0.7, 'e': 0.062536805973170739}",25,0,-2.7975694217156146,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
463,False,"{'a': 0.7, 'e': 0.062162708551887165}",20,16,10.374302951730023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.7, 'e': 0.061790848994825016}",20,11,-27.52082388286214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
465,False,"{'a': 0.7, 'e': 0.061421213915000127}",25,20,7.013318283663114,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.7, 'e': 0.061053790005509652}",25,3,38.86137199057976,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.7, 'e': 0.060688564039053219}",20,9,6.252151186315714,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
468,False,"{'a': 0.7, 'e': 0.060325522867456537}",35,26,17.8610823392746,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.7, 'e': 0.05996465342119827}",20,10,15.607669714144166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.7, 'e': 0.059605942708939368}",20,14,10.622942925978387,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.7, 'e': 0.059249377817055401}",20,14,-10.801319735889576,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
